Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-13,714.0,741.0,615.0,651.0,18356,0,0.0,,,,,,,,,,702.0
2017-02-14,630.0,648.0,594.0,633.0,6904,0,0.0,-0.027649769585253448,0.9723502304147466,,,,,,,,669.0
2017-02-15,633.0,675.0,603.0,630.0,7625,0,0.0,-0.004739336492891044,0.9677419354838709,,,,,,,,669.0
2017-02-16,642.0,642.0,600.0,600.0,3478,0,0.0,-0.04761904761904767,0.9216589861751151,,,,,,,,648.0
2017-02-17,594.0,600.0,555.0,591.0,3118,0,0.0,-0.015000000000000013,0.9078341013824883,,,,,,,,627.0
2017-02-21,588.0,591.0,558.0,570.0,3416,0,0.0,-0.035532994923857864,0.8755760368663593,,,,,,,,636.0
2017-02-22,573.0,636.0,540.0,603.0,10444,0,0.0,0.05789473684210522,0.9262672811059907,,,,,,,,624.0
2017-02-23,639.0,654.0,600.0,639.0,6777,0,0.0,0.05970149253731338,0.9815668202764976,,,,,,,,639.0
2017-02-24,633.0,633.0,603.0,609.0,2551,0,0.0,-0.04694835680751175,0.9354838709677418,,,,640.5,,,,624.0
2017-02-27,600.0,621.0,588.0,615.0,2304,0,0.0,0.009852216748768461,0.9447004608294929,,,,607.5,,,,618.0
2017-02-28,615.0,630.0,612.0,615.0,1484,0,0.0,0.0,0.9447004608294929,,,,607.5,,,,606.0
2017-03-01,630.0,690.0,624.0,684.0,7522,0,0.0,0.11219512195121961,1.0506912442396312,,,,615.0,,,,588.0
2017-03-02,678.0,714.0,630.0,705.0,5706,0,0.0,0.030701754385964897,1.0829493087557602,,,,627.0,,,,582.0
2017-03-03,705.0,705.0,654.0,693.0,2724,0,0.0,-0.017021276595744705,1.064516129032258,,,,627.0,,,,558.0
2017-03-06,708.0,720.0,690.0,714.0,3823,0,0.0,0.030303030303030276,1.096774193548387,,,,630.0,,,,561.0
2017-03-07,732.0,741.0,648.0,678.0,6624,0,0.0,-0.050420168067226934,1.0414746543778801,,,,664.5,,,,558.0
2017-03-08,765.0,825.0,669.0,681.0,17310,0,0.0,0.004424778761061843,1.0460829493087556,,,,706.5,,,,537.0
2017-03-09,681.0,693.0,621.0,624.0,4791,0,0.0,-0.08370044052863435,0.9585253456221197,,,,706.5,,,,474.0
2017-03-10,624.0,639.0,612.0,624.0,3037,0,0.0,0.0,0.9585253456221197,,,,718.5,,,,474.0
2017-03-13,618.0,636.0,603.0,612.0,2030,0,0.0,-0.019230769230769273,0.9400921658986173,638.55,718.4532346094488,558.6467653905511,714.0,,,,501.0
2017-03-14,651.0,666.0,612.0,633.0,4930,0,0.0,0.03431372549019618,0.9723502304147464,637.65,717.37540058819,557.9245994118099,714.0,,,,507.0
2017-03-15,645.0,660.0,630.0,657.0,2540,0,0.0,0.03791469194312791,1.009216589861751,638.85,718.9851913232948,558.7148086767053,714.0,,,,501.0
2017-03-16,660.0,660.0,624.0,636.0,1862,0,0.0,-0.03196347031963476,0.9769585253456218,639.15,719.19430801947,559.10569198053,714.0,,,,498.0
2017-03-17,630.0,660.0,615.0,660.0,2171,0,0.0,0.037735849056603765,1.0138248847926263,642.15,720.5636027672964,563.7363972327036,714.0,,,,510.0
2017-03-20,645.0,651.0,627.0,648.0,1314,0,0.0,-0.018181818181818188,0.995391705069124,645.0,719.7915368136486,570.2084631863514,714.0,,,,507.0
2017-03-21,642.0,654.0,630.0,654.0,1543,0,0.0,0.0092592592592593,1.0046082949308752,649.2,715.5438248108013,582.8561751891988,648.0,682.5,,,498.0
2017-03-22,648.0,735.0,639.0,702.0,9597,0,0.0,0.07339449541284404,1.0783410138248843,654.15,720.7422723824063,587.5577276175936,669.0,682.5,,,486.0
2017-03-23,684.0,702.0,660.0,669.0,2831,0,0.0,-0.047008547008547064,1.027649769585253,655.65,722.1602436431687,589.1397563568313,669.0,682.5,,,474.0
2017-03-24,669.0,684.0,660.0,669.0,1526,0,0.0,0.0,1.027649769585253,658.65,721.7629450730153,595.5370549269846,673.5,682.5,,,468.0
2017-03-27,651.0,669.0,624.0,648.0,1327,0,0.0,-0.03139013452914796,0.9953917050691239,660.3,720.3827038427249,600.217296157275,675.0,682.5,,,471.0
2017-03-28,636.0,645.0,624.0,627.0,2091,0,0.0,-0.03240740740740744,0.9631336405529949,660.9,719.3617004992425,602.4382995007575,675.0,682.5,,,495.0
2017-03-29,639.0,648.0,627.0,636.0,1245,0,0.0,0.014354066985645897,0.9769585253456216,658.5,716.9118769465682,600.0881230534318,675.0,682.5,,,489.0
2017-03-30,639.0,639.0,615.0,624.0,2068,0,0.0,-0.018867924528301883,0.9585253456221192,654.45,710.5667616952179,598.3332383047822,675.0,706.5,,,486.0
2017-03-31,633.0,657.0,615.0,639.0,3124,0,0.0,0.024038461538461453,0.981566820276497,651.75,705.2981145178896,598.2018854821104,675.0,706.5,,,543.0
2017-04-03,672.0,678.0,624.0,624.0,4957,0,0.0,-0.023474178403755874,0.9585253456221191,647.25,693.7012165157108,600.7987834842892,675.0,706.5,,,552.0
2017-04-04,621.0,636.0,609.0,618.0,2639,0,0.0,-0.009615384615384581,0.949308755760368,644.25,690.1098338188737,598.3901661811263,655.5,714.0,,,549.0
2017-04-05,615.0,621.0,594.0,606.0,2851,0,0.0,-0.01941747572815533,0.9308755760368657,640.5,685.9863153509987,595.0136846490013,639.0,709.5,,,474.0
2017-04-06,603.0,609.0,573.0,588.0,2662,0,0.0,-0.02970297029702973,0.9032258064516122,638.7,689.2780748837611,588.121925116239,625.5,699.0,,,480.0
2017-04-07,588.0,594.0,549.0,582.0,2624,0,0.0,-0.010204081632653073,0.8940092165898611,636.6,692.6948691152106,580.5051308847894,613.5,687.0,,,441.0
2017-04-10,576.0,585.0,552.0,558.0,1519,0,0.0,-0.04123711340206182,0.8571428571428565,633.9,699.0453499087756,568.7546500912243,613.5,687.0,,,423.0
2017-04-11,555.0,585.0,552.0,561.0,1288,0,0.0,0.005376344086021501,0.8617511520737321,630.3,702.8662668912098,557.7337331087901,613.5,687.0,,,429.0
2017-04-12,561.0,570.0,552.0,558.0,782,0,0.0,-0.005347593582887722,0.8571428571428565,625.35,703.3214325823717,547.3785674176283,613.5,687.0,,,429.0
2017-04-13,558.0,570.0,537.0,537.0,1702,0,0.0,-0.037634408602150504,0.8248847926267275,620.4,707.2087751082195,533.5912248917805,607.5,636.0,,,456.0
2017-04-17,543.0,546.0,474.0,474.0,4656,0,0.0,-0.11731843575418999,0.7281105990783405,611.1,716.9417192842812,505.25828071571885,555.0,604.5,,,444.0
2017-04-18,525.0,534.0,468.0,474.0,4725,0,0.0,0.0,0.7281105990783405,602.4,722.4896671307689,482.31033286923105,544.5,601.5,,,444.0
2017-04-19,474.0,501.0,459.0,501.0,3069,0,0.0,0.05696202531645578,0.7695852534562208,594.75,720.151108280169,469.3488917198311,534.0,597.0,,,435.0
2017-04-20,504.0,513.0,483.0,507.0,2132,0,0.0,0.011976047904191711,0.778801843317972,585.0,705.7153666579708,464.2846333420293,526.5,597.0,,,453.0
2017-04-21,507.0,507.0,480.0,501.0,1731,0,0.0,-0.011834319526627168,0.7695852534562209,576.6,696.1276953768671,457.07230462313294,522.0,597.0,,,444.0
2017-04-24,504.0,507.0,492.0,498.0,1178,0,0.0,-0.005988023952095856,0.7649769585253453,568.05,684.3002994495288,451.79970055047113,522.0,597.0,,,450.0
2017-04-25,498.0,525.0,486.0,510.0,1991,0,0.0,0.024096385542168752,0.7834101382488476,561.15,673.8910762672353,448.4089237327646,514.5,597.0,,,438.0
2017-04-26,510.0,516.0,495.0,507.0,991,0,0.0,-0.00588235294117645,0.7788018433179721,555.15,665.9701237853004,444.32987621469954,514.5,597.0,,,447.0
2017-04-27,504.0,516.0,495.0,498.0,975,0,0.0,-0.017751479289940808,0.7649769585253454,548.25,655.1485225637642,441.35147743623577,502.5,597.0,665.25,,447.0
2017-04-28,498.0,504.0,480.0,486.0,1173,0,0.0,-0.02409638554216864,0.7465437788018432,541.35,645.552160822124,437.14783917787594,496.5,580.5,675.75,,441.0
2017-05-01,492.0,492.0,465.0,474.0,1781,0,0.0,-0.024691358024691357,0.7281105990783409,533.1,630.936668101806,435.263331898194,492.0,571.5,675.75,,417.0
2017-05-02,471.0,474.0,453.0,468.0,1367,0,0.0,-0.012658227848101222,0.7188940092165897,525.3,617.5616782851894,433.0383217148106,489.0,565.5,678.0,,420.0
2017-05-03,468.0,471.0,456.0,471.0,669,0,0.0,0.0064102564102563875,0.7235023041474653,517.95,602.5221143291632,433.3778856708369,489.0,565.5,678.75,,420.0
2017-05-04,465.0,507.0,459.0,495.0,2426,0,0.0,0.05095541401273884,0.7603686635944699,512.4,587.0112748922868,437.7887251077131,489.0,565.5,678.75,,420.0
2017-05-05,495.0,504.0,480.0,489.0,1095,0,0.0,-0.012121212121212088,0.7511520737327188,507.45,573.9547714631678,440.9452285368322,489.0,565.5,678.75,,408.0
2017-05-08,483.0,498.0,474.0,486.0,1128,0,0.0,-0.006134969325153339,0.7465437788018432,502.65,560.0872236171097,445.2127763828903,484.5,565.5,690.75,,405.0
2017-05-09,483.0,549.0,474.0,543.0,3027,0,0.0,0.11728395061728403,0.8341013824884792,501.9,556.7317156013673,447.06828439863267,501.0,565.5,690.75,,393.0
2017-05-10,549.0,570.0,528.0,552.0,3250,0,0.0,0.016574585635359185,0.847926267281106,501.45,554.430999930956,448.46900006904394,511.5,544.5,690.75,,372.0
2017-05-11,543.0,558.0,528.0,549.0,1799,0,0.0,-0.005434782608695676,0.8433179723502304,501.0,552.1540435197533,449.8459564802468,511.5,537.0,684.75,,390.0
2017-05-12,501.0,510.0,462.0,474.0,4877,0,0.0,-0.13661202185792354,0.728110599078341,497.85,547.4682449890081,448.23175501099195,511.5,531.0,674.25,,390.0
2017-05-15,501.0,501.0,465.0,480.0,1595,0,0.0,0.012658227848101333,0.7373271889400922,498.15,547.2521230541083,449.0478769458916,513.0,523.5,662.25,,420.0
2017-05-16,477.0,477.0,426.0,441.0,3865,0,0.0,-0.08125000000000004,0.6774193548387096,496.5,550.7444781570075,442.2555218429925,498.0,505.5,650.25,,423.0
2017-05-17,438.0,438.0,420.0,423.0,1482,0,0.0,-0.04081632653061229,0.6497695852534562,492.6,555.6011199900427,429.59888000995744,495.0,502.5,650.25,,426.0
2017-05-18,435.0,450.0,390.0,429.0,2410,0,0.0,0.014184397163120588,0.6589861751152073,488.7,557.1365209980427,420.26347900195736,480.0,480.0,650.25,,429.0
2017-05-19,435.0,450.0,420.0,429.0,2247,0,0.0,0.0,0.6589861751152073,485.1,558.0464332954398,412.1535667045602,480.0,480.0,650.25,,420.0
2017-05-22,537.0,555.0,432.0,456.0,25096,0,0.0,0.06293706293706292,0.7004608294930874,483.0,556.7625835830188,409.2374164169812,480.0,480.0,621.75,,420.0
2017-05-23,450.0,453.0,420.0,444.0,3635,0,0.0,-0.02631578947368418,0.6820276497695852,479.7,554.2453951135233,405.15460488647665,474.0,480.0,579.75,,408.0
2017-05-24,435.0,444.0,426.0,444.0,1847,0,0.0,0.0,0.6820276497695852,476.55,551.5426003086461,401.55739969135385,472.5,480.0,573.0,,411.0
2017-05-25,438.0,441.0,426.0,435.0,1350,0,0.0,-0.020270270270270285,0.6682027649769584,473.4,549.8185718953582,396.98142810464174,472.5,480.0,565.5,,414.0
2017-05-26,429.0,456.0,429.0,453.0,2226,0,0.0,0.04137931034482767,0.695852534562212,471.75,548.4365860774245,395.0634139225755,472.5,480.0,561.75,,420.0
2017-05-30,453.0,453.0,435.0,444.0,612,0,0.0,-0.019867549668874163,0.6820276497695853,470.25,547.8799485074084,392.62005149259164,472.5,480.0,559.5,,414.0
2017-05-31,444.0,453.0,441.0,450.0,2359,0,0.0,0.013513513513513598,0.6912442396313365,469.35,547.4846285115076,391.21537148849245,472.5,480.0,559.5,,420.0
2017-06-01,450.0,450.0,438.0,438.0,857,0,0.0,-0.026666666666666616,0.6728110599078343,467.7,547.0232428670631,388.37675713293686,487.5,480.0,555.75,,414.0
2017-06-02,465.0,474.0,444.0,447.0,2778,0,0.0,0.020547945205479534,0.6866359447004611,465.3,544.070749687403,386.529250312597,487.5,480.0,555.75,,417.0
2017-06-05,456.0,462.0,438.0,447.0,913,0,0.0,0.0,0.6866359447004611,463.2,541.5654344855241,384.83456551447586,447.0,480.0,549.75,642.0,426.0
2017-06-06,444.0,459.0,438.0,441.0,591,0,0.0,-0.01342281879194629,0.67741935483871,460.95,539.1498115221832,382.7501884778168,450.0,480.0,538.5,642.0,468.0
2017-06-07,438.0,441.0,414.0,417.0,2797,0,0.0,-0.05442176870748294,0.6405529953917054,454.65,525.2480292255104,384.0519707744896,444.0,480.0,531.75,642.0,456.0
2017-06-08,444.0,444.0,414.0,420.0,2534,0,0.0,0.007194244604316502,0.645161290322581,448.05,504.0369029421376,392.0630970578624,444.0,480.0,527.25,639.0,444.0
2017-06-09,414.0,420.0,405.0,420.0,1410,0,0.0,0.0,0.645161290322581,441.6,474.2326756487987,408.96732435120134,439.5,480.0,527.25,639.0,435.0
2017-06-12,411.0,423.0,405.0,420.0,1029,0,0.0,0.0,0.645161290322581,438.9,469.1901864253739,408.60981357462606,439.5,480.0,527.25,639.0,435.0
2017-06-13,414.0,423.0,408.0,408.0,1036,0,0.0,-0.02857142857142858,0.6267281105990786,435.3,462.069384240794,408.530615759206,439.5,480.0,527.25,639.0,432.0
2017-06-14,408.0,414.0,393.0,405.0,1019,0,0.0,-0.007352941176470562,0.6221198156682031,433.5,463.20786179837364,403.79213820162636,433.5,480.0,525.0,639.0,435.0
2017-06-15,399.0,402.0,390.0,393.0,562,0,0.0,-0.029629629629629672,0.6036866359447007,432.0,466.3919819296928,397.6080180703072,426.0,480.0,533.25,639.0,429.0
2017-06-16,390.0,402.0,372.0,372.0,2335,0,0.0,-0.05343511450381677,0.5714285714285717,429.15,472.46310588092604,385.8368941190739,415.5,465.0,528.0,639.0,423.0
2017-06-19,384.0,408.0,384.0,390.0,948,0,0.0,0.048387096774193505,0.5990783410138252,427.2,473.78910213659856,380.6108978634014,408.0,463.5,524.25,639.0,420.0
2017-06-20,390.0,405.0,390.0,390.0,732,0,0.0,0.0,0.5990783410138252,423.9,471.2138607042008,376.58613929579917,408.0,463.5,521.25,639.0,402.0
2017-06-21,408.0,429.0,396.0,420.0,2670,0,0.0,0.07692307692307687,0.645161290322581,422.7,469.1130056183177,376.2869943816823,400.5,463.5,518.25,639.0,417.0
2017-06-22,423.0,426.0,408.0,423.0,1177,0,0.0,0.0071428571428571175,0.6497695852534565,421.65,467.015137136,376.28486286399993,400.5,463.5,501.75,625.5,417.0
2017-06-23,423.0,435.0,396.0,426.0,1478,0,0.0,0.007092198581560183,0.6543778801843321,421.2,466.1996446301721,376.2003553698279,403.5,463.5,498.75,622.5,399.0
2017-06-26,435.0,435.0,420.0,429.0,584,0,0.0,0.007042253521126751,0.6589861751152076,420.0,462.74323436767736,377.25676563232264,403.5,463.5,480.0,607.5,396.0
2017-06-27,426.0,435.0,405.0,420.0,902,0,0.0,-0.020979020979020935,0.645161290322581,418.8,460.08801146248123,377.5119885375188,403.5,463.5,480.0,607.5,393.0
2017-06-28,420.0,429.0,414.0,420.0,711,0,0.0,0.0,0.645161290322581,417.3,456.0178666223894,378.5821333776106,403.5,423.0,480.0,562.5,390.0
2017-06-29,429.0,429.0,408.0,408.0,758,0,0.0,-0.02857142857142858,0.6267281105990786,415.8,453.4938439201064,378.1061560798936,409.5,423.0,477.0,562.5,420.0
2017-06-30,411.0,414.0,396.0,411.0,660,0,0.0,0.007352941176470562,0.6313364055299542,414.0,448.8649267285782,379.1350732714218,412.5,423.0,476.25,562.5,426.0
2017-07-03,411.0,417.0,405.0,414.0,420,0,0.0,0.007299270072992803,0.6359447004608298,412.35,443.72466433453775,380.9753356654623,415.5,423.0,476.25,562.5,417.0
2017-07-05,414.0,432.0,411.0,420.0,1115,0,0.0,0.01449275362318847,0.6451612903225811,411.3,440.0364272034765,382.56357279652354,415.5,423.0,476.25,562.5,435.0
2017-07-06,420.0,426.0,411.0,414.0,353,0,0.0,-0.014285714285714235,0.63594470046083,411.15,439.7960483910207,382.50395160897926,415.5,423.0,476.25,562.5,375.0
2017-07-07,417.0,423.0,411.0,420.0,409,0,0.0,0.01449275362318847,0.6451612903225812,411.15,439.7960483910207,382.50395160897926,415.5,423.0,476.25,562.5,390.0
2017-07-10,417.0,429.0,405.0,414.0,808,0,0.0,-0.014285714285714235,0.6359447004608301,410.85,439.2408162319339,382.45918376806617,415.5,423.0,483.75,562.5,375.0
2017-07-11,414.0,420.0,408.0,417.0,644,0,0.0,0.007246376811594235,0.6405529953917056,410.7,438.9252894442231,382.4747105557769,414.0,417.0,483.75,562.5,357.0
2017-07-12,420.0,450.0,408.0,426.0,2320,0,0.0,0.021582733812949728,0.6543778801843324,411.6,440.56977851776,382.63022148224,423.0,415.5,463.5,562.5,363.0
2017-07-13,426.0,471.0,426.0,468.0,3506,0,0.0,0.09859154929577474,0.7188940092165906,414.75,452.6112311085137,376.8887688914863,433.5,421.5,465.0,546.0,360.0
2017-07-14,480.0,492.0,453.0,456.0,3202,0,0.0,-0.02564102564102566,0.7004608294930883,417.9,458.4183672970754,377.38163270292455,448.5,432.0,462.0,537.0,354.0
2017-07-17,465.0,468.0,438.0,444.0,683,0,0.0,-0.02631578947368418,0.682027649769586,421.5,457.5706149539699,385.4293850460301,448.5,432.0,462.0,534.0,336.0
2017-07-18,438.0,453.0,435.0,435.0,683,0,0.0,-0.020270270270270285,0.6682027649769592,423.75,457.1692176039898,390.3307823960102,448.5,432.0,459.75,534.0,345.0
2017-07-19,435.0,441.0,429.0,435.0,499,0,0.0,0.0,0.6682027649769592,426.0,455.8606024545225,396.1393975454775,448.5,432.0,459.75,534.0,354.0
2017-07-20,432.0,444.0,426.0,432.0,343,0,0.0,-0.006896551724137945,0.6635944700460836,426.6,456.43621649500005,396.763783505,448.5,432.0,459.75,534.0,351.0
2017-07-21,429.0,435.0,414.0,435.0,955,0,0.0,0.00694444444444442,0.6682027649769592,427.2,457.20650203222954,397.19349796777044,450.0,432.0,456.75,534.0,342.0
2017-07-24,438.0,438.0,420.0,429.0,801,0,0.0,-0.01379310344827589,0.658986175115208,427.35,457.36104996496573,397.3389500350343,450.0,432.0,453.0,534.0,351.0
2017-07-25,426.0,432.0,420.0,423.0,814,0,0.0,-0.013986013986013957,0.6497695852534568,427.05,457.1095184329477,396.9904815670523,453.0,438.0,440.25,504.0,354.0
2017-07-26,420.0,423.0,417.0,420.0,973,0,0.0,-0.007092198581560294,0.6451612903225813,427.05,457.1095184329477,396.9904815670523,453.0,441.0,435.75,496.5,366.0
2017-07-27,420.0,420.0,393.0,402.0,1537,0,0.0,-0.042857142857142816,0.6175115207373278,426.15,458.042385562102,394.2576144378979,430.5,442.5,435.75,490.5,390.0
2017-07-28,405.0,423.0,396.0,417.0,760,0,0.0,0.03731343283582089,0.6405529953917057,426.6,457.6906326051617,395.50936739483836,423.0,442.5,432.0,483.0,393.0
2017-07-31,414.0,417.0,402.0,417.0,763,0,0.0,0.0,0.6405529953917057,426.9,457.4890903152653,396.31090968473467,418.5,442.5,432.0,478.5,390.0
2017-08-01,414.0,414.0,399.0,399.0,709,0,0.0,-0.043165467625899234,0.6129032258064523,426.15,458.6639627334357,393.63603726656424,418.5,442.5,433.5,478.5,396.0
2017-08-02,393.0,408.0,393.0,396.0,449,0,0.0,-0.007518796992481258,0.6082949308755766,424.95,459.9854418448351,389.91455815516485,415.5,442.5,433.5,471.0,423.0
2017-08-03,396.0,402.0,390.0,393.0,980,0,0.0,-0.007575757575757569,0.6036866359447011,423.9,461.3856826563181,386.41431734368183,414.0,441.0,433.5,471.0,417.0
