Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-21,5.152999877929688,5.190000057220459,4.75,4.949999809265137,6900,0,0,,,,,,,,,4.190000057220459
2017-02-22,4.820000171661377,4.820000171661377,4.566999912261963,4.760000228881836,1000,0,0,0.9616162449081976,,,,,,,,3.950000047683716
2017-02-23,4.710000038146973,4.710000038146973,4.349999904632568,4.699999809265137,4100,0,0,0.949494947548874,,,,,,,,3.859999895095825
2017-02-24,4.650000095367432,4.650000095367432,4.420000076293945,4.474999904632568,2700,0,0,0.9040404196090088,,,,,,,,4.0
2017-02-27,4.349999904632568,4.425000190734863,4.239999771118164,4.349999904632568,3400,0,0,0.8787878933834458,,,,,,,,3.880000114440918
2017-02-28,4.260000228881836,4.400000095367432,4.150000095367432,4.400000095367432,26200,0,0,0.888888942405968,,,,,,,,3.890000104904175
2017-03-01,4.460000038146973,4.699999809265137,4.150000095367432,4.5,63500,0,0,0.90909094412027,,,,,,,,3.890000104904175
2017-03-02,4.400000095367432,4.400000095367432,4.099999904632568,4.150000095367432,6300,0,0,0.8383838899548419,,,,,,,,3.900000095367432
2017-03-03,4.117000102996826,4.309999942779541,4.039000034332275,4.25,3500,0,0,0.8585858916691437,,,,4.614500045776367,,,,3.7909998893737793
2017-03-06,4.21999979019165,4.260000228881836,4.050000190734863,4.260000228881836,26200,0,0,0.8606061400059452,,,,4.429500102996826,,,,3.7899999618530273
2017-03-07,4.25,4.300000190734863,3.990000009536743,3.990000009536743,51900,0,0,0.8060606390465873,,,,4.350000023841858,,,,3.799999952316284
2017-03-08,4.070000171661377,4.159999847412109,3.990000009536743,4.0,6100,0,0,0.8080808392180175,,,,4.34499990940094,,,,4.25
2017-03-09,3.990000009536743,3.990000009536743,3.900000095367432,3.900000095367432,1600,0,0,0.7878788375037158,,,,4.299999952316284,,,,4.039999961853027
2017-03-10,3.7100000381469727,3.888999938964844,3.680000066757202,3.799999952316284,10700,0,0,0.7676767876240425,,,,4.189999938011169,,,,3.7799999713897705
2017-03-13,3.809999942779541,3.880000114440918,3.5199999809265137,3.5299999713897705,12900,0,0,0.713131334830056,,,,4.109999895095825,,,,3.7799999713897705
